0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0;0.039285714285714285,0.014285714285714285,0.04642857142857143,0.05714285714285714,0.06785714285714285,0.025,0.007142857142857143,0.007142857142857143,0.08928571428571429,0.017857142857142856,0.039285714285714285,0.05714285714285714,0.02857142857142857,0.02142857142857143,0.05,0.010714285714285714,0.025,0.05714285714285714,0.04642857142857143,0.017857142857142856,0.09642857142857143,0.060714285714285714,0.04285714285714286,0.05357142857142857,0.02142857142857143
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1;0.035398230088495575,0.03687315634218289,0.02064896755162242,0.032448377581120944,0.04277286135693215,0.04277286135693215,0.05457227138643068,0.04129793510324484,0,0.051622418879056046,0.04424778761061947,0.0471976401179941,0.05604719764011799,0.045722713864306784,0.022123893805309734,0.038348082595870206,0.04277286135693215,0.035398230088495575,0.04129793510324484,0.048672566371681415,0.048672566371681415,0.05604719764011799,0.05309734513274336,0.032448377581120944,0.029498525073746312
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0;0.024051803885291396,0.039777983348751156,0.0545790934320074,0.04902867715078631,0.03145235892691952,0.041628122109158186,0.05735430157261795,0.12950971322849214,0,0.045328399629972246,0.03885291396854764,0.05087881591119334,0.05365402405180388,0.045328399629972246,0.014801110083256245,0.030527289546716005,0.0730804810360777,0.07585568917668825,0.027752081406105456,0.04810360777058279,0.01942645698427382,0,0.02312673450508788,0.01757631822386679,0.008325624421831638
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1;0.03365079365079365,0.08,0.054603174603174605,0.04,0.07301587301587302,0.03492063492063492,0.04698412698412698,0,0,0.054603174603174605,0.05206349206349206,0.06412698412698413,0.04126984126984127,0.040634920634920635,0.04126984126984127,0.05904761904761905,0.04126984126984127,0.03873015873015873,0.040634920634920635,0.03619047619047619,0.04317460317460318,0,0.03301587301587302,0.022222222222222223,0.02857142857142857
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0;0.02475728155339806,0,0.01407766990291262,0.021844660194174758,0.06990291262135923,0.032524271844660196,0.20728155339805826,0,0,0.04271844660194175,0.0762135922330097,0.11747572815533981,0.02621359223300971,0.05533980582524272,0.04660194174757282,0.03932038834951456,0.06601941747572816,0.03300970873786408,0.028640776699029126,0.01262135922330097,0.015533980582524271,0,0.02669902912621359,0.01407766990291262,0.02912621359223301
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1;0.0284846183061147,0,0.024686669198632737,0.03608051652107862,0.094948727687049,0.0843144701860995,0,0,0,0.14622104063805544,0.07861754652487657,0.03342195214584125,0.04519559437903532,0.03987846562856058,0.03114318268135207,0.04937333839726547,0.044436004557538926,0.05165210786175465,0.04215723509304975,0.04215723509304975,0.034181541967337636,0,0.043676414736042536,0.0284846183061147,0.020888720091150777
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0;0.014705882352941176,0,0.02297794117647059,0.004595588235294118,0.5211397058823529,0.0701593137254902,0,0,0,0,0.045649509803921566,0.034926470588235295,0.026041666666666668,0.044730392156862746,0.042279411764705885,0.013480392156862746,0.023284313725490197,0.027573529411764705,0.01838235294117647,0.022365196078431373,0.009191176470588236,0,0.034926470588235295,0.011029411764705883,0.012561274509803922
0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1;0.037256353318529487,0,0.03528250678509746,0.037256353318529487,0,0.18924253639279545,0,0,0,0,0.17517887984209227,0.04909943251912164,0.03626943005181347,0.03947693066864051,0.03306192943498643,0.058968665186281764,0.06069578090303479,0.034295583518381446,0.027387120651369355,0.0384900074019245,0.04145077720207254,0,0.02985442881815939,0.03626943005181347,0.04046385393535653
0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0;0.014314928425357873,0,0.0081799591002045,0.011451942740286299,0,0,0,0,0,0,0.6711656441717792,0.03537832310838446,0.0179959100204499,0.011656441717791411,0.01063394683026585,0.049897750511247445,0.06298568507157465,0.01411042944785276,0.010838445807770962,0.01820040899795501,0.02065439672801636,0,0.017382413087934562,0.0179959100204499,0.007157464212678937
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0;0.040955631399317405,0.020477815699658702,0.040955631399317405,0.006825938566552901,0.020477815699658702,0.06825938566552901,0.006825938566552901,0.04778156996587031,0.10238907849829351,0.013651877133105802,0.07167235494880546,0.09215017064846416,0.051194539249146756,0.023890784982935155,0.08873720136518772,0.006825938566552901,0.06825938566552901,0.05460750853242321,0.04436860068259386,0.006825938566552901,0.030716723549488054,0.010238907849829351,0.03754266211604096,0.0,0.04436860068259386
